cañasgordas;carrera 5; 9.5; 90; 127; en conservacion
el pondaje;calle 12; 3.5; 69;79; en recuperacion
el limonar;carre 46;0.74; 34; 36; en recuperacion
humedal panamericano;via al panamericano carrera 118; 3.3; 63; 51; en conservacion
lago de las garzas; calle 43; 4.7; 149; 148; en conservacion
